	country_code	country	localite	category	value	date	sources	link	sdr_id	sdr_name	sdr_level	ndate
0	GN	Guinea	Guekedou, Macenta, Nzerekore and Kissidougou	Cases	86	41722	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf	8	Nzerekore	ADM1	2014-03-24
1	GN	Guinea	Guekedou, Macenta, Nzerekore and Kissidougou	Deaths	59	41722	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf	8	Nzerekore	ADM1	2014-03-24
2	GN	Guinea	( Guekedou, Macenta and Kissidougou	Cases	86	41723	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf	38	Gueckedou	ADM2	2014-03-25
3	GN	Guinea	( Guekedou, Macenta and Kissidougou	Deaths	60	41723	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf	38	Gueckedou	ADM2	2014-03-25
4	GN	Guinea	( Guekedou, Macenta and Kissidougou	Cases	86	41724	WHO	http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014	38	Gueckedou	ADM2	2014-03-26
5	GN	Guinea	( Guekedou, Macenta and Kissidougou)	Deaths	62	41724	WHO	http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014	38	Gueckedou	ADM2	2014-03-26
6	GN	Guinea	( Guekedou, Macenta and Kissidougou)	Cases	103	41725	WHO	http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014	38	Gueckedou	ADM2	2014-03-27
7	GN	Guinea	( Guekedou, Macenta and Kissidougou)	Deaths	66	41725	WHO	http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014	38	Gueckedou	ADM2	2014-03-27
8	GN	Guinea	( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)	Deaths	70	41726	WHO	http://reliefweb.int/report/guinea/situation-de-la-fi-vre-virale-h-morragique-ebola-en-guin-e-au-30-mars-2014	4	Kankan	ADM1	2014-03-28
9	GN	Guinea	Conakry	Suspected cases	5	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	2	Conakry	ADM1	2014-03-28
